TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
4918320.422,28,Female,Employed - at work,Yes,,Saturday,0,-1,0,45,330,0,0,5,900,0,10,0,0,0,15,95,0,0,0,0,,40,0
5488802.155,37,Female,Employed - at work,Yes,,Thursday,0,-1,0,50,390,260,0,0,520,150,0,0,0,0,30,0,0,0,0,0,,40,0
9585175.126,15,Male,Not in labor force,Yes,,Saturday,0,-1,40,30,735,105,0,0,0,120,120,0,0,0,40,60,0,100,30,0,,100,0
12828083.1,16,Female,Not in labor force,Yes,,Tuesday,0,-1,0,0,610,110,0,0,0,460,0,0,0,0,80,180,0,0,0,0,,0,0
8764864.689,17,Female,Not in labor force,Yes,,Sunday,0,-1,0,0,780,0,0,0,0,0,0,0,0,0,80,180,0,0,0,0,,20,380
2451925.913,43,Female,Not in labor force,Yes,,Sunday,0,-1,0,0,555,130,0,0,0,240,0,0,0,0,30,465,0,0,0,0,,20,0
8941227.398,17,Male,Employed - at work,Yes,,Thursday,0,-1,0,15,610,0,0,0,0,490,10,0,0,0,61,240,0,0,0,0,,14,0
24793797.74,17,Male,Not in labor force,Yes,,Thursday,0,-1,0,40,660,0,0,0,0,0,0,0,0,0,30,650,60,0,0,0,,0,0
6132096.301,38,Female,Not in labor force,Yes,Employed,Thursday,0,-1,125,10,420,120,250,0,0,155,15,0,45,0,25,187,0,20,0,25,,148,20
4806628.372,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,30,360,1,0,0,0,0,0,0,0,0,55,484,60,60,0,375,,15,0
11599809.17,17,Male,Employed - at work,Yes,,Wednesday,0,-1,0,65,480,15,0,0,0,539,0,0,0,0,40,131,130,0,0,0,,40,0
16954059.49,16,Female,Not in labor force,Yes,,Monday,0,-1,0,52,420,5,0,0,0,509,55,0,0,0,28,296,0,0,0,0,,60,15
5252287.168,30,Male,Employed - absent,Yes,,Monday,0,-1,0,30,425,55,0,0,15,270,35,0,0,0,125,305,60,0,0,30,,90,0
16783063.47,25,Female,Not in labor force,Yes,,Wednesday,0,-1,307,150,360,85,118,0,0,440,20,0,0,0,10,157,0,0,0,0,,100,0
14365918.89,16,Female,Not in labor force,Yes,,Thursday,0,-1,0,145,487,20,0,0,0,565,0,0,0,0,45,78,0,15,0,0,,45,40
6320587.373,16,Male,Not in labor force,Yes,,Sunday,0,-1,0,0,865,0,0,0,0,30,0,0,0,0,30,505,0,0,0,0,,10,0
4306896.871,22,Female,Employed - at work,Yes,Unemployed,Saturday,0,-1,0,45,660,0,0,0,55,390,0,0,0,0,10,260,0,0,0,0,,20,0
5168571.037,47,Female,Employed - at work,Yes,Unemployed,Friday,0,-1,412,30,450,0,0,0,479,150,0,0,0,0,90,172,0,0,0,0,,9,60
12999824.34,35,Female,Employed - at work,Yes,,Monday,0,-1,0,90,390,110,0,0,580,45,0,0,0,0,60,135,0,0,0,0,,30,0
8026732.966,15,Male,Not in labor force,Yes,,Saturday,0,-1,0,0,600,0,10,0,0,0,0,0,0,0,90,485,120,0,0,0,,135,0
3488068.278,17,Male,Not in labor force,Yes,,Sunday,0,-1,0,40,750,0,0,0,0,270,0,0,0,0,20,180,0,0,0,180,,0,0
13838237.97,18,Male,Not in labor force,Yes,,Wednesday,0,-1,250,40,520,0,0,0,0,0,0,0,0,0,90,730,60,0,0,0,,0,0
6359784.785,26,Female,Not in labor force,Yes,Unemployed,Friday,0,-1,240,10,585,300,210,0,0,0,0,0,0,0,75,180,0,0,0,0,,80,0
11225058.57,21,Female,Unemployed - looking,Yes,,Sunday,0,-1,0,110,810,150,0,0,0,0,0,0,0,0,75,295,0,0,0,0,,0,0
9537805.4,20,Female,Employed - at work,Yes,,Saturday,0,-1,0,120,530,0,0,0,330,0,140,0,0,0,150,134,0,0,0,15,,21,0
10692602.37,20,Female,Employed - at work,Yes,,Saturday,0,-1,0,90,630,0,0,0,375,0,0,0,0,0,105,105,0,0,0,15,,120,0
8464353.031,17,Female,Not in labor force,Yes,,Thursday,0,-1,0,135,465,0,0,0,0,460,0,0,0,0,20,335,0,0,0,0,,25,0
7862200.162,39,Female,Employed - absent,Yes,Employed,Friday,0,-1,660,90,525,150,105,0,60,0,0,60,0,0,60,375,0,0,0,0,,15,0
9657196.439,16,Female,Not in labor force,Yes,,Saturday,0,-1,0,15,780,5,0,0,0,120,60,0,0,0,20,365,0,0,0,0,,75,0
9581156.817,15,Male,Not in labor force,Yes,,Friday,0,-1,0,20,440,0,0,0,10,535,0,0,0,0,50,240,0,0,0,0,,145,0
8684834.515,22,Male,Not in labor force,Yes,,Sunday,0,-1,0,0,780,0,0,0,0,0,0,0,0,0,45,615,0,0,0,0,,0,0
13005763.06,18,Male,Not in labor force,Yes,,Wednesday,0,100,265,75,497,20,35,0,0,13,0,0,0,0,40,260,0,0,0,26,,144,330
3133985.768,15,Male,Employed - at work,Yes,,Sunday,0,-1,0,40,547,2,0,0,0,0,5,0,0,0,60,387,0,0,0,0,,70,329
18363769.46,15,Female,Not in labor force,Yes,,Friday,0,-1,135,75,484,10,31,0,0,360,0,0,0,0,70,95,0,185,30,0,,100,0
7998850.605,44,Male,Employed - at work,Yes,Employed,Thursday,0,-1,207,55,483,60,37,0,585,0,0,0,0,0,80,60,0,0,0,0,,80,0
17100306.26,18,Male,Not in labor force,Yes,,Wednesday,0,-1,0,60,510,15,75,0,0,450,0,0,0,0,60,165,0,0,0,0,,45,60
4788931.574,43,Female,Employed - at work,Yes,,Tuesday,0,-1,0,90,355,55,0,0,605,0,0,0,0,0,75,60,90,20,0,45,,45,0
9868817.796,16,Female,Unemployed - looking,Yes,,Wednesday,0,-1,40,30,570,0,1,0,0,564,0,0,0,0,35,135,0,70,0,0,,35,0
11586091.55,25,Female,Employed - at work,Yes,,Sunday,0,-1,0,0,510,286,0,0,0,15,70,0,0,0,40,379,0,0,0,120,,20,0
29987799.86,28,Female,Not in labor force,Yes,Employed,Thursday,0,-1,0,55,460,65,15,0,0,460,45,0,0,0,35,85,0,0,0,15,,145,60
9160116.485,37,Female,Employed - at work,Yes,,Tuesday,0,-1,215,80,390,35,0,0,480,0,50,0,0,0,50,95,60,0,0,50,,85,65
5165840.954,33,Male,Employed - at work,Yes,Employed,Monday,0,-1,235,10,450,180,90,0,490,0,0,0,0,0,40,145,0,0,0,0,,10,25
7239477.068,16,Female,Employed - at work,Yes,,Saturday,0,-1,0,135,445,0,0,275,0,0,0,0,0,0,50,0,0,0,465,0,,70,0
9071609.103,17,Male,Employed - at work,Yes,,Monday,0,-1,0,25,603,120,0,4,0,0,0,0,0,0,115,160,228,0,0,0,,185,0
15119232.98,20,Female,Not in labor force,Yes,,Saturday,0,-1,0,35,610,85,0,0,0,45,0,0,0,0,30,545,0,0,0,0,,90,0
11298026.76,26,Female,Not in labor force,Yes,Employed,Wednesday,1,-1,0,90,660,20,0,0,0,330,0,0,0,0,55,225,0,0,0,0,,0,60
37962612.04,19,Male,Not in labor force,Yes,,Wednesday,0,-1,0,20,720,30,0,0,0,0,0,0,0,0,40,500,90,0,0,0,,40,0
7037845.22,16,Male,Unemployed - looking,Yes,,Sunday,0,-1,0,0,955,0,0,0,0,0,0,0,0,0,115,360,0,0,0,0,,10,0
17108656.81,20,Female,Employed - at work,Yes,,Saturday,0,-1,0,60,625,5,0,0,490,0,0,0,0,0,90,130,30,0,0,0,,10,0
9045732.989,18,Female,Employed - at work,Yes,,Saturday,0,-1,0,120,465,46,0,5,364,0,0,0,0,0,45,286,0,0,0,17,,92,0
23106497.97,15,Female,Not in labor force,Yes,,Wednesday,0,-1,20,20,600,0,10,0,0,394,0,0,0,0,60,290,0,0,0,0,,36,30
7736900.926,31,Male,Employed - at work,Yes,,Sunday,0,-1,0,0,720,0,0,30,0,0,0,0,0,0,20,340,60,60,0,60,,50,100
1371142.964,33,Female,Not in labor force,Yes,,Sunday,0,-1,735,60,585,220,15,0,0,0,180,0,0,0,90,245,0,0,0,0,,45,0
5101854.652,16,Female,Not in labor force,Yes,,Saturday,0,60,0,40,700,125,0,60,0,30,0,0,0,0,30,295,0,0,0,35,,125,0
14157310.83,15,Female,Not in labor force,Yes,,Monday,0,-1,0,70,530,10,0,0,0,545,0,0,0,0,95,120,30,0,0,0,,40,0
4281318.973,17,Male,Unemployed - looking,Yes,,Sunday,0,-1,0,20,805,25,0,0,0,0,7,0,0,0,20,483,0,0,0,0,,65,15
21039875.54,15,Male,Not in labor force,Yes,,Friday,0,-1,90,20,450,0,10,0,0,405,0,0,0,0,60,245,90,0,0,60,,100,0
17905785.47,17,Female,Unemployed - looking,Yes,,Tuesday,0,-1,0,120,508,16,0,6,0,541,0,0,0,0,72,60,70,0,0,0,,42,5
5409138.617,23,Female,Unemployed - looking,Yes,,Sunday,0,-1,635,0,630,15,55,0,0,10,0,0,0,0,65,460,0,0,0,0,,40,165
