TUFINLWGT,TEAGE,Sex,Employment_Status,InSchool,EmploymentStatusSpouse,WeekdayReported,TRHOLIDAY,TRTEC,TRTHH,1,101,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,50
4348139.168,49,Female,Employed - at work,No,,Wednesday,0,-1,0,75,481,55,0,0,569,0,0,0,0,0,60,65,0,0,0,0,,135,0
1980605.697,70,Female,Not in labor force,,,Sunday,0,-1,0,71,540,104,0,0,0,0,40,0,0,0,140,429,0,65,0,1,,38,12
4003556.172,44,Female,Employed - at work,No,,Wednesday,0,-1,665,80,685,155,90,0,300,0,0,0,0,0,40,0,0,0,0,90,,0,0
9842807.518,63,Female,Not in labor force,,Employed,Wednesday,0,-1,0,10,735,155,0,150,0,0,0,0,0,0,20,330,0,0,0,0,,40,0
6623827.1,71,Female,Not in labor force,,,Wednesday,0,-1,0,0,480,425,0,0,0,0,0,0,0,0,65,440,0,0,0,30,,0,0
3668652.289,32,Female,Employed - at work,No,,Thursday,0,-1,390,45,529,35,79,0,360,0,50,0,0,0,35,145,0,0,33,20,,74,35
2908972.266,51,Female,Employed - at work,,,Sunday,0,-1,0,0,240,375,40,0,60,0,0,0,0,0,20,565,0,0,0,0,,50,90
28035793.98,18,Female,Not in labor force,Yes,,Thursday,0,-1,0,80,290,0,0,0,0,766,15,0,0,0,80,105,20,0,0,0,,84,0
9220511.524,41,Female,Employed - at work,No,Employed,Friday,0,-1,0,35,700,65,0,0,410,0,5,0,0,0,40,70,0,0,0,0,,100,15
5131526.188,40,Female,Employed - at work,No,Employed,Thursday,0,-1,335,0,450,107,94,0,392,0,30,0,0,5,50,100,35,0,0,0,,167,10
3690268.378,20,Female,Not in labor force,No,Employed,Sunday,0,-1,0,30,690,90,1,0,0,0,21,0,0,0,0,315,0,0,0,0,,293,0
4782082.148,78,Female,Not in labor force,,,Friday,0,-1,0,10,450,20,0,27,0,0,0,0,0,0,105,590,0,0,0,0,,80,158
6096565.454,40,Female,Employed - at work,No,Unemployed,Thursday,0,-1,60,60,445,60,170,0,495,0,0,0,0,0,120,0,0,0,0,0,,90,0
7687662.195,46,Female,Not in labor force,No,Employed,Friday,0,-1,0,60,515,480,0,0,0,0,120,0,0,0,120,30,30,0,0,0,,85,0
12312325.56,62,Female,Not in labor force,,Unemployed,Monday,0,-1,0,0,210,500,390,0,0,0,0,0,0,0,30,310,0,0,0,0,,0,0
6021261.134,50,Female,Unemployed - looking,,Employed,Sunday,0,-1,0,35,595,95,0,0,265,0,0,0,0,0,0,60,0,165,115,55,,40,15
2397479.085,47,Female,Unemployed - looking,No,,Tuesday,0,-1,0,20,450,162,0,5,0,0,0,0,0,0,45,733,0,0,0,0,,25,0
15122025.8,18,Female,Unemployed - looking,Yes,,Friday,0,-1,0,50,515,15,0,0,60,246,0,0,0,0,106,400,0,0,0,0,,48,0
17789352.63,48,Female,Employed - at work,No,Employed,Thursday,0,-1,0,45,630,41,0,0,265,0,35,0,0,0,75,220,69,0,0,0,,60,0
1643039.1,85,Female,Not in labor force,,,Sunday,0,-1,0,90,660,0,0,0,0,0,0,0,0,0,60,145,0,275,0,0,,90,120
9201109.739,36,Female,Not in labor force,No,Employed,Monday,0,-1,675,0,675,105,90,0,0,0,0,0,0,0,90,480,0,0,0,0,,0,0
4062123.675,65,Female,Not in labor force,,,Thursday,0,-1,0,0,630,75,0,0,0,0,0,0,0,0,45,225,0,45,420,0,,0,0
6527617.681,80,Female,Not in labor force,,,Thursday,0,-1,0,150,555,105,0,0,0,0,0,0,0,0,90,300,0,0,0,240,,0,0
4320872.645,56,Female,Employed - at work,,,Sunday,0,45,0,30,390,30,45,0,742,0,0,0,0,0,0,105,0,0,0,0,,98,0
1895994.373,57,Female,Employed - at work,,,Sunday,0,-1,0,135,520,60,0,0,550,0,60,0,0,0,75,0,0,0,0,0,,40,0
8050598.874,35,Female,Employed - at work,No,,Monday,0,-1,65,60,510,0,10,0,575,0,0,0,0,0,0,120,0,0,0,0,,165,0
12572360.31,59,Female,Employed - at work,,Employed,Monday,0,-1,0,70,430,40,0,0,505,0,35,0,0,0,40,255,0,0,0,0,,65,0
3242380.269,31,Female,Not in labor force,No,Employed,Sunday,0,-1,454,70,410,231,360,0,0,0,94,0,0,0,90,15,0,0,0,40,,35,95
2849125.681,52,Female,Not in labor force,,Employed,Sunday,0,-1,0,60,500,200,0,0,0,120,0,0,0,0,60,350,60,70,0,0,,20,0
1460737.699,52,Female,Employed - at work,,,Sunday,0,-1,0,0,605,59,0,60,0,0,45,0,0,0,15,570,0,0,0,27,,40,19
2521504.085,80,Female,Not in labor force,,Unemployed,Saturday,0,-1,0,0,330,240,0,0,0,0,0,0,0,0,180,690,0,0,0,0,,0,0
4768116.129,44,Female,Employed - at work,No,Employed,Saturday,0,-1,175,30,720,235,0,0,0,0,60,0,0,0,60,305,0,0,0,0,,30,0
5315595.753,51,Female,Employed - at work,,,Wednesday,1,-1,0,4,408,65,0,0,525,0,0,0,0,0,0,310,0,0,0,0,,128,0
8493517.488,39,Female,Not in labor force,No,Employed,Friday,0,120,585,15,630,315,210,0,0,0,0,0,0,0,80,190,0,0,0,0,,0,0
15271711.96,16,Female,Not in labor force,Yes,,Thursday,0,150,0,210,380,185,0,0,0,195,0,0,0,0,60,10,0,0,240,60,,100,0
2123207.952,37,Female,Unemployed - looking,No,Unemployed,Saturday,0,-1,660,0,600,450,60,0,0,0,90,0,0,0,60,135,0,0,0,0,,45,0
9136605.136,62,Female,Employed - at work,,Employed,Monday,0,-1,0,120,420,180,0,0,480,0,0,15,0,0,75,15,0,0,0,0,,135,0
1403590.162,57,Female,Employed - at work,,,Saturday,0,-1,0,55,570,402,0,0,0,0,0,0,0,0,55,303,0,55,0,0,,0,0
4803937.614,44,Female,Not in labor force,No,,Saturday,0,-1,0,45,570,75,0,45,0,0,0,0,0,0,15,355,200,0,0,0,,135,0
2921568.807,62,Female,Employed - at work,,,Saturday,0,-1,0,60,480,180,0,0,0,0,120,0,0,0,30,435,0,0,0,0,,45,90
4645418.697,55,Female,Employed - at work,,Employed,Tuesday,0,-1,0,75,545,50,0,0,456,0,35,0,0,0,25,90,0,0,0,60,,99,5
10928692.1,80,Female,Not in labor force,,,Monday,0,-1,0,90,570,80,0,60,0,60,50,0,0,0,160,120,0,0,0,30,,25,195
21807876.67,75,Female,Not in labor force,,Employed,Thursday,0,0,0,22,510,186,0,0,0,0,0,0,0,0,45,647,0,0,0,0,,0,30
4810732.299,46,Female,Not in labor force,No,,Saturday,0,-1,0,90,540,75,0,0,0,0,0,0,0,0,30,705,0,0,0,0,,0,0
3161205.633,25,Female,Employed - absent,Yes,Employed,Saturday,0,-1,671,80,585,30,50,0,20,0,0,60,0,0,45,286,0,90,0,0,,194,0
4682943.241,62,Female,Employed - absent,,Employed,Saturday,0,-1,0,30,525,290,0,0,250,0,0,0,0,0,70,230,0,0,0,45,,0,0
2887845.854,37,Female,Employed - at work,No,Employed,Sunday,0,-1,750,0,690,315,0,0,0,0,0,0,0,0,75,360,0,0,0,0,,0,0
4818109.834,65,Female,Employed - absent,,,Thursday,0,-1,0,627,510,12,0,0,0,0,0,0,0,0,15,275,0,0,0,1,,0,0
2431786.874,47,Female,Employed - at work,No,,Saturday,0,-1,750,0,510,445,150,5,0,0,90,0,0,0,75,90,0,0,0,0,,75,0
8998807.817,49,Female,Employed - absent,No,Employed,Tuesday,0,-1,0,35,540,185,0,0,0,0,180,0,35,0,50,155,0,0,0,35,,225,0
7654801.205,50,Female,Employed - at work,,Employed,Monday,0,-1,0,30,505,145,0,0,480,0,0,0,0,0,65,135,0,60,0,0,,20,0
5370840.129,16,Female,Not in labor force,No,,Saturday,0,-1,0,0,660,0,0,0,0,0,0,0,0,0,50,427,0,0,0,0,,6,297
7592603.663,46,Female,Employed - at work,No,Employed,Thursday,0,-1,0,45,465,31,0,0,439,0,0,0,0,0,70,275,0,0,0,0,,115,0
5596869.978,34,Female,Employed - at work,No,Employed,Saturday,0,-1,370,35,490,255,255,0,300,0,0,0,0,0,45,30,0,0,0,0,,30,0
1757493.308,67,Female,Employed - at work,,,Saturday,0,-1,0,0,705,190,0,0,0,0,20,0,0,0,90,290,95,0,0,0,,50,0
3092605.527,44,Female,Employed - at work,No,,Wednesday,0,-1,210,75,450,0,60,0,660,0,0,0,0,0,0,135,0,0,0,0,,60,0
915408.6094,65,Female,Not in labor force,,,Saturday,0,-1,350,90,633,170,20,4,0,0,50,0,0,0,20,233,0,0,0,0,,220,0
3062178.268,67,Female,Not in labor force,,Unemployed,Saturday,0,-1,0,0,658,180,0,2,0,0,120,0,0,0,10,360,0,0,0,0,,110,0
4257837.488,50,Female,Employed - at work,,,Wednesday,0,165,0,30,560,48,0,90,590,0,0,0,0,0,17,30,0,0,0,0,,75,0
3115126.522,28,Female,Employed - at work,Yes,,Saturday,0,-1,580,10,735,150,125,0,0,0,60,0,0,0,110,210,0,0,0,0,,40,0
13765532,49,Female,Employed - at work,No,Employed,Friday,0,-1,0,0,600,0,0,0,555,0,0,0,0,0,240,0,0,0,0,0,,45,0
6376000.128,73,Female,Not in labor force,,,Thursday,0,-1,0,0,840,290,0,0,0,0,0,0,0,0,95,45,0,120,0,0,,50,0
1942108.673,73,Female,Not in labor force,,Unemployed,Saturday,0,-1,0,35,495,290,0,0,0,0,60,0,0,0,155,300,0,0,0,0,,105,0
3219254.646,37,Female,Employed - at work,No,Employed,Sunday,0,242,0,15,670,350,1,0,0,0,62,0,0,0,40,242,0,0,0,0,,60,0
5805966.974,16,Female,Employed - at work,Yes,,Saturday,0,-1,0,60,595,40,0,15,465,0,26,0,0,0,15,155,0,0,0,0,,69,0
10633234.95,38,Female,Employed - at work,No,Employed,Tuesday,0,-1,0,55,465,60,0,0,515,0,0,0,0,0,90,120,0,0,0,15,,120,0
5086976.922,72,Female,Employed - at work,,Employed,Saturday,0,-1,0,80,540,85,0,0,0,0,35,120,0,0,90,312,0,72,0,10,,96,0
2476710.639,85,Female,Not in labor force,,,Sunday,0,-1,0,0,540,120,0,0,0,0,90,0,0,0,105,470,0,60,0,0,,55,0
15330770.59,18,Female,Not in labor force,Yes,,Thursday,0,-1,0,80,575,0,0,0,180,0,155,30,0,0,45,318,0,0,0,0,,42,15
